A,Bridge,B,Weight
15,2009,Familia,32
15,2009,Golfo,3
15,2009,Juarez,3
15,2009,Sinaloa,9
15,2009,Sinaloa_Family,2
15,2009,Tijuana,2
15,2009,Zetas,34
15,2009,Otros,2
15,2010,Beltran_Leyva,23
15,2010,Beltran_Leyva_Family,6
15,2010,Familia,34
15,2010,Golfo,6
15,2010,Juarez,2
15,2010,Sinaloa,5
15,2010,Sinaloa_Family,4
15,2010,Tijuana,3
15,2010,Zetas,23
15,2010,Otros,6
16,2000,Golfo,1
16,2001,Beltran_Leyva,1
16,2001,Tijuana,1
16,2003,Tijuana,1
16,2004,Familia,3
16,2004,Golfo,5
16,2004,Zetas,3
16,2005,Beltran_Leyva,1
16,2005,Familia,3
16,2005,Golfo,16
16,2005,Juarez,3
16,2005,Sinaloa,3
16,2005,Zetas,6
16,2006,Beltran_Leyva,4
16,2006,Familia,32
16,2006,Golfo,19
16,2006,Juarez,1
16,2006,Sinaloa,8
16,2006,Tijuana,1
16,2006,Zetas,17
16,2006,Otros,1
16,2007,Beltran_Leyva,5
16,2007,Familia,18
16,2007,Golfo,21
16,2007,Juarez,2
16,2007,Sinaloa,6
16,2007,Tijuana,1
16,2007,Zetas,22
16,2008,Beltran_Leyva,4
16,2008,Familia,27
16,2008,Golfo,21
16,2008,Juarez,2
16,2008,Sinaloa,3
16,2008,Sinaloa_Family,4
16,2008,Tijuana,3
16,2008,Zetas,28
16,2008,Otros,1
16,2009,Beltran_Leyva,1
16,2009,Beltran_Leyva_Family,3
16,2009,Familia,68
16,2009,Golfo,10
16,2009,Juarez,1
16,2009,Sinaloa,4
16,2009,Sinaloa_Family,3
16,2009,Tijuana,3
16,2009,Zetas,24
16,2009,Otros,4
16,2010,Beltran_Leyva,4
16,2010,Beltran_Leyva_Family,2
16,2010,Familia,69
16,2010,Golfo,9
16,2010,Juarez,1
16,2010,Sinaloa,3
16,2010,Sinaloa_Family,4
16,2010,Tijuana,3
16,2010,Zetas,20
16,2010,Otros,5
17,2000,Sinaloa,1
17,2002,Sinaloa,1
17,2003,Beltran_Leyva,1
17,2004,Juarez,1
17,2005,Familia,1
17,2005,Sinaloa,3
17,2005,Zetas,1
17,2006,Golfo,3
17,2006,Zetas,1
17,2007,Beltran_Leyva,3
17,2007,Golfo,4
17,2007,Sinaloa,2
17,2007,Tijuana,1
17,2007,Zetas,2
17,2008,Beltran_Leyva,10
17,2008,Beltran_Leyva_Family,3
17,2008,Golfo,3
17,2008,Sinaloa,5
17,2008,Zetas,3
17,2008,Otros,1
17,2009,Beltran_Leyva,21
17,2009,Beltran_Leyva_Family,13
17,2009,Familia,2
17,2009,Juarez,2
17,2009,Sinaloa,1
17,2009,Sinaloa_Family,1
17,2009,Zetas,2
17,2009,Otros,1
17,2010,Beltran_Leyva,21
17,2010,Beltran_Leyva_Family,14
17,2010,Familia,7
17,2010,Golfo,2
17,2010,Juarez,1
17,2010,Sinaloa,3
17,2010,Sinaloa_Family,9
17,2010,Zetas,3
17,2010,Otros,6
18,2003,Sinaloa,1
18,2004,Sinaloa,1
18,2005,Familia,1
18,2005,Sinaloa,2
18,2006,Juarez,1
18,2006,Sinaloa,1
18,2006,Zetas,1
18,2007,Zetas,1
18,2008,Beltran_Leyva,1
18,2008,Beltran_Leyva_Family,1
18,2008,Familia,1
18,2008,Sinaloa,1
18,2008,Zetas,1
18,2009,Beltran_Leyva,1
18,2009,Beltran_Leyva_Family,1
18,2009,Familia,1
18,2009,Sinaloa,1
18,2009,Zetas,2
18,2009,Otros,1
18,2010,Beltran_Leyva,1
18,2010,Beltran_Leyva_Family,2
18,2010,Sinaloa,3
18,2010,Sinaloa_Family,1
18,2010,Zetas,2
19,2000,Golfo,2
19,2000,Sinaloa,1
19,2001,Beltran_Leyva,1
19,2001,Golfo,1
19,2001,Juarez,1
19,2001,Sinaloa,2
19,2001,Tijuana,1
19,2002,Golfo,1
19,2002,Tijuana,1
19,2003,Golfo,2
19,2003,Sinaloa,1
19,2003,Tijuana,1
19,2003,Zetas,4
19,2004,Beltran_Leyva,3
19,2004,Golfo,3
19,2004,Juarez,1
19,2004,Sinaloa,4
19,2004,Tijuana,1
19,2004,Zetas,5
19,2005,Beltran_Leyva,2
19,2005,Familia,2
19,2005,Golfo,7
19,2005,Juarez,2
19,2005,Sinaloa,6
19,2005,Zetas,6
